Date,Close
8/16/2013,19.7
8/19/2013,19.61
8/20/2013,19.86
8/21/2013,20.18
8/22/2013,20.47
8/23/2013,20.63
8/26/2013,20.9
8/27/2013,19.96
8/28/2013,20.11
8/29/2013,20.47
8/30/2013,19.96
09/03/2013,20.53
09/04/2013,20.49
09/05/2013,21.2
09/06/2013,21.41
09/09/2013,22.79
09/10/2013,22.93
09/11/2013,23
09/12/2013,22.71
9/13/2013,23.12
9/16/2013,23.29
9/17/2013,23.76
9/18/2013,23.72
9/19/2013,24.5
9/20/2013,24.87
9/23/2013,24.62
9/24/2013,24.94
9/25/2013,24.67
9/26/2013,26.21
9/27/2013,27.03
9/30/2013,27.47
10/01/2013,28.09
10/02/2013,28.84
10/03/2013,28.24
10/04/2013,28.77
10/07/2013,27.56
10/08/2013,23.3
10/09/2013,19.86
10/10/2013,23.03
10/11/2013,21.49
10/14/2013,23.51
10/15/2013,23.13
10/16/2013,24.55
10/17/2013,24.63
10/18/2013,23.99
10/21/2013,23.07
10/22/2013,22.58
10/23/2013,22.02
10/24/2013,24.73
10/25/2013,24.07
10/28/2013,23.62
10/29/2013,23.63
10/30/2013,22.31
10/31/2013,22.73
11/01/2013,22.5
11/04/2013,22.22
11/05/2013,22.65
11/06/2013,21
11/07/2013,20.89
11/08/2013,21.73
11/11/2013,23.01
11/12/2013,22.58
11/13/2013,22.98
11/14/2013,22.94
11/15/2013,22.83
11/18/2013,21.03
11/19/2013,20.68
11/20/2013,21.13
11/21/2013,22.47
11/22/2013,22.34
11/25/2013,21.92
11/26/2013,22.95
11/27/2013,23.19
11/29/2013,23.29
12/02/2013,25
12/03/2013,23.88
12/04/2013,24.29
12/05/2013,24.48
12/06/2013,24.39
12/09/2013,23.48
12/10/2013,23.6
12/11/2013,22.29
12/12/2013,22.76
12/13/2013,23.03
12/16/2013,23.33
12/17/2013,23
12/18/2013,23.42
12/19/2013,23.35
12/20/2013,24.16
12/23/2013,25.92
12/24/2013,26.31
12/26/2013,25.44
12/27/2013,25.3
12/30/2013,25.38
12/31/2013,24.99
01/02/2014,25.15
01/03/2014,25.26
01/06/2014,24.7
01/07/2014,23.61
01/08/2014,23.91
01/09/2014,23.78
01/10/2014,24.13
1/13/2014,23.32
1/14/2014,24.31
1/15/2014,23.99
1/16/2014,24.26
1/17/2014,24.04
1/21/2014,23.92
1/22/2014,24.31
1/23/2014,24.23
1/24/2014,23.11
1/27/2014,22.45
1/28/2014,23.66
1/29/2014,23.22
1/30/2014,23.81
1/31/2014,23.3
02/03/2014,22.31
02/04/2014,22.71
02/05/2014,21.87
02/06/2014,22.69
02/07/2014,23.47
02/10/2014,23.96
02/11/2014,24.78
02/12/2014,24.65
2/13/2014,24.51
2/14/2014,23.93
2/18/2014,24.4
2/19/2014,24
2/20/2014,24.58
2/21/2014,28.84
2/24/2014,28.14
2/25/2014,29.06
2/26/2014,29.72
2/27/2014,30.1
2/28/2014,28.3
03/03/2014,28.19
03/04/2014,30.04
03/05/2014,28.55
03/06/2014,27.17
03/07/2014,27.2
03/10/2014,28.24
03/11/2014,27.53
03/12/2014,28.54
3/13/2014,26.78
3/14/2014,26.88
3/17/2014,27.64
3/18/2014,28.67
3/19/2014,28.4
3/20/2014,27.85
3/21/2014,26.01
3/24/2014,24.24
3/25/2014,23.81
3/26/2014,22.9
3/27/2014,23.01
3/28/2014,22.65
3/31/2014,24.33
04/01/2014,25.1
04/02/2014,24.38
04/03/2014,23.06
04/04/2014,21.35
04/07/2014,20.69
04/08/2014,20.99
04/09/2014,21.95
04/10/2014,20.04
04/11/2014,19.04
4/14/2014,17.82
4/15/2014,18.36
4/16/2014,19.28
4/17/2014,19.44
4/21/2014,19.92
4/22/2014,21.05
4/23/2014,20.14
4/24/2014,20.55
4/25/2014,19.32
4/28/2014,19.15
4/29/2014,19.91
4/30/2014,20.13
05/01/2014,20.12
05/02/2014,19.59
05/05/2014,20.21
05/06/2014,19.16
05/07/2014,18.51
05/08/2014,18.06
05/09/2014,18.52
05/12/2014,19.42
5/13/2014,18.84
5/14/2014,18.87
5/15/2014,19.7
5/16/2014,19.05
5/19/2014,19.2
5/20/2014,19.04
5/21/2014,19.22
5/22/2014,19.57
5/23/2014,19.8
5/27/2014,20.7
5/28/2014,20.92
5/29/2014,21.25
5/30/2014,20.65
06/02/2014,20.45
06/03/2014,20.16
06/04/2014,21.2
06/05/2014,21.7
06/06/2014,21.99
06/09/2014,22.93
06/10/2014,23.1
06/11/2014,22.8
06/12/2014,23.03
6/13/2014,23.05
6/16/2014,23.04
6/17/2014,23.22
6/18/2014,23.67
6/19/2014,23.16
6/20/2014,23.06
6/23/2014,22.97
6/24/2014,22.82
6/25/2014,23.04
6/26/2014,22.81
6/27/2014,22.41
6/30/2014,22.59
07/01/2014,23.42
07/02/2014,23.49
07/03/2014,23.64
07/07/2014,23.42
07/08/2014,21.56
07/09/2014,21.78
07/10/2014,21.44
07/11/2014,22.3
7/14/2014,22.09
7/15/2014,20.77
7/16/2014,20.25
7/17/2014,19.4
7/18/2014,20.25
7/21/2014,20.31
7/22/2014,20.16
7/23/2014,20.73
7/24/2014,20.83
7/25/2014,20.62
7/28/2014,20.26
7/29/2014,20.74
7/30/2014,21.21
7/31/2014,20.27
08/01/2014,20.62
08/04/2014,20.7
08/05/2014,20.77
08/06/2014,21.34
08/07/2014,20.94
08/08/2014,21.17
08/11/2014,21.41
08/12/2014,21.41
8/13/2014,22.37
8/14/2014,22.9
8/15/2014,22.59
8/18/2014,22.43
8/19/2014,22.57
8/20/2014,22.69
8/21/2014,22.02
8/22/2014,22.17
8/25/2014,23.15
8/26/2014,23.81
8/27/2014,23.58
8/28/2014,23.61
8/29/2014,23.98
09/02/2014,26.61
09/03/2014,26.9
09/04/2014,26.69
09/05/2014,26.96
09/08/2014,27.93
09/09/2014,26.98
09/10/2014,27.31
09/11/2014,27.47
09/12/2014,28.24
9/15/2014,26.79
9/16/2014,27.04
9/17/2014,27.45
9/18/2014,27.57
9/19/2014,26.64
9/22/2014,26.15
9/23/2014,26
9/24/2014,26.83
9/25/2014,25.71
9/26/2014,25.89
9/29/2014,25.67
9/30/2014,24.76
10/01/2014,24.46
10/02/2014,25.15
10/03/2014,25.47
10/06/2014,24.88
10/07/2014,23.98
10/08/2014,25.25
10/09/2014,24.16
10/10/2014,23.4
10/13/2014,22.98
10/14/2014,22.88
10/15/2014,25.11
10/16/2014,25.29
10/17/2014,26.06
10/20/2014,26.58
10/21/2014,26.77
10/22/2014,25.92
10/23/2014,26.25
10/24/2014,26.92
10/27/2014,27.04
10/28/2014,27.89
10/29/2014,27.63
10/30/2014,28.05
10/31/2014,27.7
11/03/2014,27.9
11/04/2014,27.66
11/05/2014,27.19
11/06/2014,27.94
11/07/2014,27.69
11/10/2014,28.21
11/11/2014,27.5
11/12/2014,27.27
11/13/2014,27.9
11/14/2014,27.14
11/17/2014,27.08
11/18/2014,27.79
11/19/2014,27.33
11/20/2014,27.74
11/21/2014,28.43
11/24/2014,29.53
11/25/2014,29.53
11/26/2014,29.95
11/28/2014,29.87
12/01/2014,28.68
12/02/2014,30.11
12/03/2014,30.41
12/04/2014,30.46
12/05/2014,31.16
12/08/2014,32.19
12/09/2014,32.78
12/10/2014,32.3
12/11/2014,32.63
12/12/2014,32.53
12/15/2014,30.34
12/16/2014,30.02
12/17/2014,31.5
12/18/2014,32.85
12/19/2014,32.98
12/22/2014,32.24
12/23/2014,30.17
12/24/2014,30.95
12/26/2014,31.73
12/29/2014,31.96
12/30/2014,31.69
12/31/2014,31.75
01/02/2015,31.15
01/05/2015,31.1
01/06/2015,30.98
01/07/2015,32.16
01/08/2015,32.5
01/09/2015,33.37
01/12/2015,34.25
1/13/2015,34.46
1/14/2015,33.76
1/15/2015,32.17
1/16/2015,32.68
1/20/2015,33.11
1/21/2015,32.47
1/22/2015,32.57
1/23/2015,31.88
1/26/2015,32.28
1/27/2015,31.7
1/28/2015,31.22
1/29/2015,31.05
1/30/2015,30.43
02/02/2015,31.11
02/03/2015,31.76
02/04/2015,31.36
02/05/2015,32.51
02/06/2015,32.48
02/09/2015,32.12
02/10/2015,33.47
02/11/2015,33.33
02/12/2015,33.84
2/13/2015,34.21
2/17/2015,35.03
2/18/2015,35.72
2/19/2015,36.8
2/20/2015,37.45
2/23/2015,37.62
2/24/2015,37.44
2/25/2015,37.4
2/26/2015,37.78
2/27/2015,37.97
03/02/2015,38.23
03/03/2015,38.14
03/04/2015,38.14
03/05/2015,39.26
03/06/2015,38.94
03/09/2015,38.93
03/10/2015,45.88
03/11/2015,44.76
03/12/2015,34.82
3/13/2015,34.45
3/16/2015,35.18
3/17/2015,34.31
3/18/2015,34.46
3/19/2015,34.99
3/20/2015,34.45
3/23/2015,33.99
3/24/2015,33.65
3/25/2015,31.2
3/26/2015,30.37
3/27/2015,31.96
3/30/2015,33.35
3/31/2015,32.59
04/01/2015,32.04
04/02/2015,31.49
04/06/2015,31.96
04/07/2015,32.84
04/08/2015,34.17
