Date,Open,High,Low,Close ,Adj Close ,Volume
45139,29230.87,29675.73,28657.02,29675.73,29675.73,18272392391
45138,29278.31,29489.87,29131.58,29230.11,29230.11,11656781982
45137,29357.09,29443.17,29059.5,29275.31,29275.31,8678454527
45136,29319.45,29396.84,29264.17,29356.92,29356.92,6481775959
45135,29212.16,29521.51,29125.85,29319.25,29319.25,11218474952
45134,29353.8,29560.97,29099.35,29210.69,29210.69,10770779217
45133,29225.76,29675.55,29113.91,29354.97,29354.97,13497554655
45132,29178.97,29353.16,29062.43,29227.39,29227.39,10266772793
45131,30081.66,30093.39,28934.29,29176.92,29176.92,15395817395
45130,29790.11,30330.64,29741.53,30084.54,30084.54,9220145050
45129,29908.7,29991.62,29664.12,29771.8,29771.8,7873300598
45128,29805.11,30046,29733.85,29908.74,29908.74,10972789818
45127,29915.25,30195.53,29638.1,29792.02,29792.02,14655207121
45126,29862.05,30184.18,29794.27,29913.92,29913.92,12128602812
45125,30147.07,30233.66,29556.43,29856.56,29856.56,13138897269
45124,30249.63,30336.4,29685.78,30145.89,30145.89,13240156074
45123,30297.47,30437.56,30089.67,30249.13,30249.13,8516564470
45122,30331.78,30407.78,30263.46,30295.81,30295.81,8011667756
45121,31474.72,31582.25,29966.39,30334.07,30334.07,20917902660
45120,30387.49,31814.52,30268.35,31476.05,31476.05,23686079548
45119,30622.25,30959.96,30228.84,30391.65,30391.65,14805659717
45118,30417.63,30788.31,30358.1,30620.95,30620.95,12151839152
45117,30172.42,31026.08,29985.39,30414.47,30414.47,14828209155
45116,30291.61,30427.59,30085.59,30171.23,30171.23,7903327692
45115,30346.92,30374.44,30080.16,30292.54,30292.54,7509378699
45114,29908,30434.64,29777.29,30342.27,30342.27,13384770155
45113,30507.15,31460.05,29892.23,29909.34,29909.34,21129219509
45112,30778.72,30877.33,30225.61,30514.17,30514.17,12481622280
45111,31156.87,31325.2,30659.36,30777.58,30777.58,12810828427
45110,30624.52,31375.61,30586.51,31156.44,31156.44,15271884873
45109,30587.27,30766.14,30264.02,30620.77,30620.77,10533418042
45108,30471.85,30641.29,30328.87,30590.08,30590.08,9086606733
45107,30441.35,31256.86,29600.28,30477.25,30477.25,26387306197
45106,30086.19,30796.25,30057.2,30445.35,30445.35,13180860821
45105,30696.56,30703.28,29921.82,30086.25,30086.25,14571500779
45104,30274.32,31006.79,30236.65,30688.16,30688.16,16428827944
45103,30480.52,30636.03,29955.74,30271.13,30271.13,16493186997
45102,30545.15,31041.27,30327.94,30480.26,30480.26,12703464114
45101,30708.74,30804.15,30290.15,30548.7,30548.7,12147822496
45100,29896.38,31389.54,29845.21,30695.47,30695.47,24115570085
45099,29995.94,30496,29679.16,29912.28,29912.28,20653160491
45098,28311.31,30737.33,28283.41,30027.3,30027.3,33346760979
45097,26841.66,28388.97,26668.79,28327.49,28327.49,22211859147
